x,u_m,u_mm,M,,
0.116,-5.48E-07,-0.000547735,77.60061333,,
0.117,-5.57E-07,-0.000557106,77.55177833,,
0.118,-5.67E-07,-0.000566556,77.50295333,,
0.119,-5.76E-07,-0.000576082,77.45413833,,
0.12,-5.86E-07,-0.000585686,77.40533333,,
0.121,-5.95E-07,-0.000595368,77.35653833,,
0.122,-6.05E-07,-0.000605127,77.30775333,,
0.123,-6.15E-07,-0.000614963,77.25897833,,
0.124,-6.25E-07,-0.000624877,77.21021333,,
0.125,-6.35E-07,-0.000634867,77.16145833,,
0.126,-6.45E-07,-0.000644935,77.11271333,,
0.127,-6.55E-07,-0.00065508,77.06397833,,
0.128,-6.65E-07,-0.000665302,77.01525333,,
0.129,-6.76E-07,-0.000675601,76.96653833,,
0.13,-6.86E-07,-0.000685977,76.91783333,,
0.131,-6.96E-07,-0.00069643,76.86913833,,
0.132,-7.07E-07,-0.00070696,76.82045333,,
0.133,-7.18E-07,-0.000717567,76.77177833,,
0.134,-7.28E-07,-0.00072825,76.72311333,,
0.135,-7.39E-07,-0.00073901,76.67445833,,
0.136,-7.50E-07,-0.000749847,76.62581333,,
0.137,-7.61E-07,-0.000760761,76.57717833,,
0.138,-7.72E-07,-0.000771751,76.52855333,,
0.139,-7.83E-07,-0.000782817,76.47993833,,
0.14,-7.94E-07,-0.00079396,76.43133333,,
0.141,-8.05E-07,-0.00080518,76.38273833,,
0.142,-8.16E-07,-0.000816475,76.33415333,,
0.143,-8.28E-07,-0.000827848,76.28557833,,
0.144,-8.39E-07,-0.000839296,76.23701333,,
0.145,-8.51E-07,-0.000850821,76.18845833,,
0.146,-8.62E-07,-0.000862422,76.13991333,,
0.147,-8.74E-07,-0.000874099,76.09137833,,
0.148,-8.86E-07,-0.000885852,76.04285333,,
0.149,-8.98E-07,-0.000897681,75.99433833,,
0.15,-9.10E-07,-0.000909586,75.94583333,,
0.151,-9.22E-07,-0.000921567,75.89733833,,
0.152,-9.34E-07,-0.000933624,75.84885333,,
