x,u_m,u_mm,M,,
2.834,-0.000171847,-0.171847041,-18.20888667,,
2.835,-0.00017192,-0.171920345,-18.23054167,,
2.836,-0.000171994,-0.171993631,-18.25218667,,
2.837,-0.000172067,-0.172066899,-18.27382167,,
2.838,-0.00017214,-0.172140149,-18.29544667,,
2.839,-0.000172213,-0.17221338,-18.31706167,,
2.84,-0.000172287,-0.172286593,-18.33866667,,
2.841,-0.00017236,-0.172359788,-18.36026167,,
2.842,-0.000172433,-0.172432964,-18.38184667,,
2.843,-0.000172506,-0.172506122,-18.40342167,,
2.844,-0.000172579,-0.172579261,-18.42498667,,
2.845,-0.000172652,-0.172652383,-18.44654167,,
2.846,-0.000172725,-0.172725485,-18.46808667,,
2.847,-0.000172799,-0.172798569,-18.48962167,,
2.848,-0.000172872,-0.172871635,-18.51114667,,
2.849,-0.000172945,-0.172944682,-18.53266167,,
2.85,-0.000173018,-0.173017711,-18.55416667,,
2.851,-0.000173091,-0.173090721,-18.57566167,,
2.852,-0.000173164,-0.173163713,-18.59714667,,
2.853,-0.000173237,-0.173236685,-18.61862167,,
2.854,-0.00017331,-0.17330964,-18.64008667,,
2.855,-0.000173383,-0.173382575,-18.66154167,,
2.856,-0.000173455,-0.173455492,-18.68298667,,
2.857,-0.000173528,-0.173528391,-18.70442167,,
2.858,-0.000173601,-0.17360127,-18.72584667,,
2.859,-0.000173674,-0.173674131,-18.74726167,,
2.86,-0.000173747,-0.173746973,-18.76866667,,
2.861,-0.00017382,-0.173819797,-18.79006167,,
2.862,-0.000173893,-0.173892601,-18.81144667,,
2.863,-0.000173965,-0.173965387,-18.83282167,,
2.864,-0.000174038,-0.174038154,-18.85418667,,
2.865,-0.000174111,-0.174110902,-18.87554167,,
2.866,-0.000174184,-0.174183631,-18.89688667,,
2.867,-0.000174256,-0.174256342,-18.91822167,,
2.868,-0.000174329,-0.174329033,-18.93954667,,
2.869,-0.000174402,-0.174401706,-18.96086167,,
2.87,-0.000174474,-0.174474359,-18.98216667,,
2.871,-0.000174547,-0.174546994,-19.00346167,,
2.872,-0.00017462,-0.174619609,-19.02474667,,
2.873,-0.000174692,-0.174692206,-19.04602167,,
2.874,-0.000174765,-0.174764783,-19.06728667,,
2.875,-0.000174837,-0.174837341,-19.08854167,,
2.876,-0.00017491,-0.174909881,-19.10978667,,
2.877,-0.000174982,-0.174982401,-19.13102167,,
2.878,-0.000175055,-0.175054902,-19.15224667,,
2.879,-0.000175127,-0.175127384,-19.17346167,,
2.88,-0.0001752,-0.175199846,-19.19466667,,
2.881,-0.000175272,-0.17527229,-19.21586167,,
2.882,-0.000175345,-0.175344714,-19.23704667,,
2.883,-0.000175417,-0.175417119,-19.25822167,,
2.884,-0.00017549,-0.175489505,-19.27938667,,
2.885,-0.000175562,-0.175561872,-19.30054167,,
2.886,-0.000175634,-0.175634219,-19.32168667,,
2.887,-0.000175707,-0.175706547,-19.34282167,,
2.888,-0.000175779,-0.175778855,-19.36394667,,
2.889,-0.000175851,-0.175851145,-19.38506167,,
2.89,-0.000175923,-0.175923414,-19.40616667,,
2.891,-0.000175996,-0.175995665,-19.42726167,,
2.892,-0.000176068,-0.176067896,-19.44834667,,
2.893,-0.00017614,-0.176140107,-19.46942167,,
2.894,-0.000176212,-0.176212299,-19.49048667,,
2.895,-0.000176284,-0.176284472,-19.51154167,,
2.896,-0.000176357,-0.176356625,-19.53258667,,
2.897,-0.000176429,-0.176428758,-19.55362167,,
2.898,-0.000176501,-0.176500872,-19.57464667,,
2.899,-0.000176573,-0.176572967,-19.59566167,,
2.9,-0.000176645,-0.176645042,-19.61666667,,
2.901,-0.000176717,-0.176717097,-19.63766167,,
2.902,-0.000176789,-0.176789132,-19.65864667,,
2.903,-0.000176861,-0.176861148,-19.67962167,,
2.904,-0.000176933,-0.176933145,-19.70058667,,
2.905,-0.000177005,-0.177005121,-19.72154167,,
2.906,-0.000177077,-0.177077078,-19.74248667,,
2.907,-0.000177149,-0.177149015,-19.76342167,,
2.908,-0.000177221,-0.177220932,-19.78434667,,
2.909,-0.000177293,-0.17729283,-19.80526167,,
2.91,-0.000177365,-0.177364707,-19.82616667,,
2.911,-0.000177437,-0.177436565,-19.84706167,,
2.912,-0.000177508,-0.177508403,-19.86794667,,
2.913,-0.00017758,-0.177580221,-19.88882167,,
2.914,-0.000177652,-0.17765202,-19.90968667,,
2.915,-0.000177724,-0.177723798,-19.93054167,,
2.916,-0.000177796,-0.177795556,-19.95138667,,
2.917,-0.000177867,-0.177867295,-19.97222167,,
2.918,-0.000177939,-0.177939013,-19.99304667,,
2.919,-0.000178011,-0.178010712,-20.01386167,,
2.92,-0.000178082,-0.17808239,-20.03466667,,
2.921,-0.000178154,-0.178154049,-20.05546167,,
2.922,-0.000178226,-0.178225687,-20.07624667,,
2.923,-0.000178297,-0.178297306,-20.09702167,,
2.924,-0.000178369,-0.178368904,-20.11778667,,
2.925,-0.00017844,-0.178440482,-20.13854167,,
2.926,-0.000178512,-0.17851204,-20.15928667,,
2.927,-0.000178584,-0.178583578,-20.18002167,,
2.928,-0.000178655,-0.178655095,-20.20074667,,
2.929,-0.000178727,-0.178726593,-20.22146167,,
2.93,-0.000178798,-0.17879807,-20.24216667,,
2.931,-0.00017887,-0.178869527,-20.26286167,,
2.932,-0.000178941,-0.178940964,-20.28354667,,
2.933,-0.000179012,-0.17901238,-20.30422167,,
2.934,-0.000179084,-0.179083776,-20.32488667,,
2.935,-0.000179155,-0.179155152,-20.34554167,,
2.936,-0.000179227,-0.179226507,-20.36618667,,
2.937,-0.000179298,-0.179297843,-20.38682167,,
2.938,-0.000179369,-0.179369157,-20.40744667,,
2.939,-0.00017944,-0.179440452,-20.42806167,,
2.94,-0.000179512,-0.179511725,-20.44866667,,
2.941,-0.000179583,-0.179582979,-20.46926167,,
2.942,-0.000179654,-0.179654212,-20.48984667,,
2.943,-0.000179725,-0.179725424,-20.51042167,,
2.944,-0.000179797,-0.179796616,-20.53098667,,
2.945,-0.000179868,-0.179867788,-20.55154167,,
2.946,-0.000179939,-0.179938938,-20.57208667,,
2.947,-0.00018001,-0.180010069,-20.59262167,,
2.948,-0.000180081,-0.180081178,-20.61314667,,
2.949,-0.000180152,-0.180152267,-20.63366167,,
2.95,-0.000180223,-0.180223336,-20.65416667,,
2.951,-0.000180294,-0.180294384,-20.67466167,,
2.952,-0.000180365,-0.180365411,-20.69514667,,
2.953,-0.000180436,-0.180436417,-20.71562167,,
2.954,-0.000180507,-0.180507403,-20.73608667,,
2.955,-0.000180578,-0.180578368,-20.75654167,,
2.956,-0.000180649,-0.180649312,-20.77698667,,
2.957,-0.00018072,-0.180720236,-20.79742167,,
2.958,-0.000180791,-0.180791138,-20.81784667,,
2.959,-0.000180862,-0.18086202,-20.83826167,,
2.96,-0.000180933,-0.180932881,-20.85866667,,
2.961,-0.000181004,-0.181003721,-20.87906167,,
2.962,-0.000181075,-0.18107454,-20.89944667,,
2.963,-0.000181145,-0.181145339,-20.91982167,,
2.964,-0.000181216,-0.181216116,-20.94018667,,
2.965,-0.000181287,-0.181286873,-20.96054167,,
2.966,-0.000181358,-0.181357608,-20.98088667,,
2.967,-0.000181428,-0.181428323,-21.00122167,,
2.968,-0.000181499,-0.181499016,-21.02154667,,
2.969,-0.00018157,-0.181569689,-21.04186167,,
2.97,-0.00018164,-0.18164034,-21.06216667,,
2.971,-0.000181711,-0.181710971,-21.08246167,,
2.972,-0.000181782,-0.18178158,-21.10274667,,
2.973,-0.000181852,-0.181852168,-21.12302167,,
2.974,-0.000181923,-0.181922735,-21.14328667,,
2.975,-0.000181993,-0.181993281,-21.16354167,,
2.976,-0.000182064,-0.182063806,-21.18378667,,
2.977,-0.000182134,-0.18213431,-21.20402167,,
2.978,-0.000182205,-0.182204792,-21.22424667,,
2.979,-0.000182275,-0.182275253,-21.24446167,,
2.98,-0.000182346,-0.182345693,-21.26466667,,
2.981,-0.000182416,-0.182416112,-21.28486167,,
2.982,-0.000182487,-0.182486509,-21.30504667,,
2.983,-0.000182557,-0.182556886,-21.32522167,,
2.984,-0.000182627,-0.18262724,-21.34538667,,
2.985,-0.000182698,-0.182697574,-21.36554167,,
2.986,-0.000182768,-0.182767886,-21.38568667,,
2.987,-0.000182838,-0.182838177,-21.40582167,,
2.988,-0.000182908,-0.182908446,-21.42594667,,
2.989,-0.000182979,-0.182978694,-21.44606167,,
2.99,-0.000183049,-0.18304892,-21.46616667,,
2.991,-0.000183119,-0.183119125,-21.48626167,,
2.992,-0.000183189,-0.183189308,-21.50634667,,
2.993,-0.000183259,-0.18325947,-21.52642167,,
2.994,-0.00018333,-0.183329611,-21.54648667,,
2.995,-0.0001834,-0.18339973,-21.56654167,,
2.996,-0.00018347,-0.183469827,-21.58658667,,
2.997,-0.00018354,-0.183539903,-21.60662167,,
2.998,-0.00018361,-0.183609957,-21.62664667,,
2.999,-0.00018368,-0.183679989,-21.64666167,,
3,-0.00018375,-0.18375,-21.66666667,,
3.001,-0.00018382,-0.183819989,-21.68666167,,
3.002,-0.00018389,-0.183889957,-21.70664667,,
3.003,-0.00018396,-0.183959902,-21.72662167,,
3.004,-0.00018403,-0.184029826,-21.74658667,,
3.005,-0.0001841,-0.184099729,-21.76654167,,
3.006,-0.00018417,-0.184169609,-21.78648667,,
3.007,-0.000184239,-0.184239468,-21.80642167,,
3.008,-0.000184309,-0.184309305,-21.82634667,,
3.009,-0.000184379,-0.18437912,-21.84626167,,
3.01,-0.000184449,-0.184448913,-21.86616667,,
3.011,-0.000184519,-0.184518685,-21.88606167,,
3.012,-0.000184588,-0.184588434,-21.90594667,,
3.013,-0.000184658,-0.184658162,-21.92582167,,
3.014,-0.000184728,-0.184727868,-21.94568667,,
3.015,-0.000184798,-0.184797551,-21.96554167,,
3.016,-0.000184867,-0.184867213,-21.98538667,,
3.017,-0.000184937,-0.184936853,-22.00522167,,
3.018,-0.000185006,-0.185006471,-22.02504667,,
3.019,-0.000185076,-0.185076066,-22.04486167,,
3.02,-0.000185146,-0.18514564,-22.06466667,,
3.021,-0.000185215,-0.185215192,-22.08446167,,
3.022,-0.000185285,-0.185284721,-22.10424667,,
3.023,-0.000185354,-0.185354229,-22.12402167,,
3.024,-0.000185424,-0.185423714,-22.14378667,,
3.025,-0.000185493,-0.185493177,-22.16354167,,
3.026,-0.000185563,-0.185562618,-22.18328667,,
3.027,-0.000185632,-0.185632037,-22.20302167,,
3.028,-0.000185701,-0.185701434,-22.22274667,,
3.029,-0.000185771,-0.185770808,-22.24246167,,
3.03,-0.00018584,-0.18584016,-22.26216667,,
3.031,-0.000185909,-0.18590949,-22.28186167,,
3.032,-0.000185979,-0.185978798,-22.30154667,,
3.033,-0.000186048,-0.186048083,-22.32122167,,
3.034,-0.000186117,-0.186117346,-22.34088667,,
3.035,-0.000186187,-0.186186587,-22.36054167,,
3.036,-0.000186256,-0.186255805,-22.38018667,,
3.037,-0.000186325,-0.186325001,-22.39982167,,
3.038,-0.000186394,-0.186394175,-22.41944667,,
3.039,-0.000186463,-0.186463326,-22.43906167,,
3.04,-0.000186532,-0.186532454,-22.45866667,,
3.041,-0.000186602,-0.186601561,-22.47826167,,
3.042,-0.000186671,-0.186670644,-22.49784667,,
3.043,-0.00018674,-0.186739706,-22.51742167,,
3.044,-0.000186809,-0.186808744,-22.53698667,,
3.045,-0.000186878,-0.18687776,-22.55654167,,
3.046,-0.000186947,-0.186946754,-22.57608667,,
3.047,-0.000187016,-0.187015725,-22.59562167,,
3.048,-0.000187085,-0.187084674,-22.61514667,,
3.049,-0.000187154,-0.187153599,-22.63466167,,
3.05,-0.000187223,-0.187222503,-22.65416667,,
3.051,-0.000187291,-0.187291383,-22.67366167,,
3.052,-0.00018736,-0.187360241,-22.69314667,,
3.053,-0.000187429,-0.187429076,-22.71262167,,
3.054,-0.000187498,-0.187497889,-22.73208667,,
3.055,-0.000187567,-0.187566678,-22.75154167,,
3.056,-0.000187635,-0.187635445,-22.77098667,,
3.057,-0.000187704,-0.18770419,-22.79042167,,
3.058,-0.000187773,-0.187772911,-22.80984667,,
3.059,-0.000187842,-0.18784161,-22.82926167,,
3.06,-0.00018791,-0.187910285,-22.84866667,,
3.061,-0.000187979,-0.187978938,-22.86806167,,
3.062,-0.000188048,-0.188047568,-22.88744667,,
3.063,-0.000188116,-0.188116176,-22.90682167,,
3.064,-0.000188185,-0.18818476,-22.92618667,,
3.065,-0.000188253,-0.188253321,-22.94554167,,
3.066,-0.000188322,-0.18832186,-22.96488667,,
3.067,-0.00018839,-0.188390375,-22.98422167,,
3.068,-0.000188459,-0.188458867,-23.00354667,,
3.069,-0.000188527,-0.188527337,-23.02286167,,
3.07,-0.000188596,-0.188595783,-23.04216667,,
3.071,-0.000188664,-0.188664207,-23.06146167,,
3.072,-0.000188733,-0.188732607,-23.08074667,,
3.073,-0.000188801,-0.188800984,-23.10002167,,
3.074,-0.000188869,-0.188869338,-23.11928667,,
3.075,-0.000188938,-0.188937669,-23.13854167,,
3.076,-0.000189006,-0.189005977,-23.15778667,,
3.077,-0.000189074,-0.189074262,-23.17702167,,
3.078,-0.000189143,-0.189142524,-23.19624667,,
3.079,-0.000189211,-0.189210762,-23.21546167,,
3.08,-0.000189279,-0.189278977,-23.23466667,,
3.081,-0.000189347,-0.189347169,-23.25386167,,
3.082,-0.000189415,-0.189415338,-23.27304667,,
3.083,-0.000189483,-0.189483483,-23.29222167,,
3.084,-0.000189552,-0.189551605,-23.31138667,,
3.085,-0.00018962,-0.189619704,-23.33054167,,
3.086,-0.000189688,-0.189687779,-23.34968667,,
3.087,-0.000189756,-0.189755831,-23.36882167,,
3.088,-0.000189824,-0.18982386,-23.38794667,,
3.089,-0.000189892,-0.189891865,-23.40706167,,
3.09,-0.00018996,-0.189959847,-23.42616667,,
3.091,-0.000190028,-0.190027806,-23.44526167,,
3.092,-0.000190096,-0.190095741,-23.46434667,,
3.093,-0.000190164,-0.190163652,-23.48342167,,
3.094,-0.000190232,-0.190231541,-23.50248667,,
3.095,-0.000190299,-0.190299405,-23.52154167,,
3.096,-0.000190367,-0.190367246,-23.54058667,,
3.097,-0.000190435,-0.190435064,-23.55962167,,
3.098,-0.000190503,-0.190502858,-23.57864667,,
3.099,-0.000190571,-0.190570628,-23.59766167,,
3.1,-0.000190638,-0.190638375,-23.61666667,,
3.101,-0.000190706,-0.190706098,-23.63566167,,
3.102,-0.000190774,-0.190773798,-23.65464667,,
3.103,-0.000190841,-0.190841474,-23.67362167,,
3.104,-0.000190909,-0.190909126,-23.69258667,,
3.105,-0.000190977,-0.190976754,-23.71154167,,
3.106,-0.000191044,-0.191044359,-23.73048667,,
3.107,-0.000191112,-0.19111194,-23.74942167,,
3.108,-0.000191179,-0.191179498,-23.76834667,,
3.109,-0.000191247,-0.191247031,-23.78726167,,
3.11,-0.000191315,-0.191314541,-23.80616667,,
3.111,-0.000191382,-0.191382027,-23.82506167,,
3.112,-0.000191449,-0.191449489,-23.84394667,,
3.113,-0.000191517,-0.191516927,-23.86282167,,
3.114,-0.000191584,-0.191584342,-23.88168667,,
3.115,-0.000191652,-0.191651732,-23.90054167,,
3.116,-0.000191719,-0.191719099,-23.91938667,,
3.117,-0.000191786,-0.191786442,-23.93822167,,
3.118,-0.000191854,-0.191853761,-23.95704667,,
3.119,-0.000191921,-0.191921056,-23.97586167,,
3.12,-0.000191988,-0.191988326,-23.99466667,,
3.121,-0.000192056,-0.192055573,-24.01346167,,
3.122,-0.000192123,-0.192122796,-24.03224667,,
3.123,-0.00019219,-0.192189995,-24.05102167,,
3.124,-0.000192257,-0.19225717,-24.06978667,,
3.125,-0.000192324,-0.19232432,-24.08854167,,
3.126,-0.000192391,-0.192391447,-24.10728667,,
3.127,-0.000192459,-0.19245855,-24.12602167,,
3.128,-0.000192526,-0.192525628,-24.14474667,,
3.129,-0.000192593,-0.192592682,-24.16346167,,
3.13,-0.00019266,-0.192659712,-24.18216667,,
3.131,-0.000192727,-0.192726718,-24.20086167,,
3.132,-0.000192794,-0.1927937,-24.21954667,,
3.133,-0.000192861,-0.192860657,-24.23822167,,
3.134,-0.000192928,-0.192927591,-24.25688667,,
3.135,-0.000192994,-0.1929945,-24.27554167,,
3.136,-0.000193061,-0.193061384,-24.29418667,,
3.137,-0.000193128,-0.193128245,-24.31282167,,
3.138,-0.000193195,-0.193195081,-24.33144667,,
3.139,-0.000193262,-0.193261893,-24.35006167,,
3.14,-0.000193329,-0.19332868,-24.36866667,,
3.141,-0.000193395,-0.193395443,-24.38726167,,
3.142,-0.000193462,-0.193462182,-24.40584667,,
3.143,-0.000193529,-0.193528896,-24.42442167,,
3.144,-0.000193596,-0.193595586,-24.44298667,,
3.145,-0.000193662,-0.193662251,-24.46154167,,
3.146,-0.000193729,-0.193728892,-24.48008667,,
3.147,-0.000193796,-0.193795509,-24.49862167,,
3.148,-0.000193862,-0.193862101,-24.51714667,,
3.149,-0.000193929,-0.193928668,-24.53566167,,
3.15,-0.000193995,-0.193995211,-24.55416667,,
3.151,-0.000194062,-0.194061729,-24.57266167,,
3.152,-0.000194128,-0.194128223,-24.59114667,,
3.153,-0.000194195,-0.194194692,-24.60962167,,
3.154,-0.000194261,-0.194261137,-24.62808667,,
3.155,-0.000194328,-0.194327557,-24.64654167,,
3.156,-0.000194394,-0.194393952,-24.66498667,,
3.157,-0.00019446,-0.194460323,-24.68342167,,
3.158,-0.000194527,-0.194526669,-24.70184667,,
3.159,-0.000194593,-0.19459299,-24.72026167,,
3.16,-0.000194659,-0.194659286,-24.73866667,,
3.161,-0.000194726,-0.194725558,-24.75706167,,
3.162,-0.000194792,-0.194791805,-24.77544667,,
3.163,-0.000194858,-0.194858027,-24.79382167,,
3.164,-0.000194924,-0.194924225,-24.81218667,,
3.165,-0.00019499,-0.194990398,-24.83054167,,
3.166,-0.000195057,-0.195056545,-24.84888667,,
3.167,-0.000195123,-0.195122668,-24.86722167,,
3.168,-0.000195189,-0.195188766,-24.88554667,,
3.169,-0.000195255,-0.19525484,-24.90386167,,
3.17,-0.000195321,-0.195320888,-24.92216667,,
3.171,-0.000195387,-0.195386911,-24.94046167,,
3.172,-0.000195453,-0.19545291,-24.95874667,,
3.173,-0.000195519,-0.195518883,-24.97702167,,
3.174,-0.000195585,-0.195584832,-24.99528667,,
3.175,-0.000195651,-0.195650755,-25.01354167,,
3.176,-0.000195717,-0.195716654,-25.03178667,,
3.177,-0.000195783,-0.195782527,-25.05002167,,
3.178,-0.000195848,-0.195848376,-25.06824667,,
3.179,-0.000195914,-0.195914199,-25.08646167,,
3.18,-0.00019598,-0.195979997,-25.10466667,,
3.181,-0.000196046,-0.196045771,-25.12286167,,
3.182,-0.000196112,-0.196111519,-25.14104667,,
3.183,-0.000196177,-0.196177242,-25.15922167,,
3.184,-0.000196243,-0.196242939,-25.17738667,,
3.185,-0.000196309,-0.196308612,-25.19554167,,
3.186,-0.000196374,-0.196374259,-25.21368667,,
3.187,-0.00019644,-0.196439881,-25.23182167,,
3.188,-0.000196505,-0.196505478,-25.24994667,,
3.189,-0.000196571,-0.19657105,-25.26806167,,
3.19,-0.000196637,-0.196636596,-25.28616667,,
3.191,-0.000196702,-0.196702117,-25.30426167,,
3.192,-0.000196768,-0.196767613,-25.32234667,,
3.193,-0.000196833,-0.196833084,-25.34042167,,
3.194,-0.000196899,-0.196898529,-25.35848667,,
3.195,-0.000196964,-0.196963949,-25.37654167,,
3.196,-0.000197029,-0.197029343,-25.39458667,,
3.197,-0.000197095,-0.197094712,-25.41262167,,
3.198,-0.00019716,-0.197160056,-25.43064667,,
3.199,-0.000197225,-0.197225374,-25.44866167,,
3.2,-0.000197291,-0.197290667,-25.46666667,,
3.201,-0.000197356,-0.197355934,-25.48466167,,
3.202,-0.000197421,-0.197421176,-25.50264667,,
3.203,-0.000197486,-0.197486392,-25.52062167,,
3.204,-0.000197552,-0.197551583,-25.53858667,,
3.205,-0.000197617,-0.197616748,-25.55654167,,
3.206,-0.000197682,-0.197681888,-25.57448667,,
3.207,-0.000197747,-0.197747002,-25.59242167,,
3.208,-0.000197812,-0.19781209,-25.61034667,,
3.209,-0.000197877,-0.197877153,-25.62826167,,
3.21,-0.000197942,-0.19794219,-25.64616667,,
3.211,-0.000198007,-0.198007202,-25.66406167,,
3.212,-0.000198072,-0.198072188,-25.68194667,,
3.213,-0.000198137,-0.198137148,-25.69982167,,
3.214,-0.000198202,-0.198202083,-25.71768667,,
3.215,-0.000198267,-0.198266992,-25.73554167,,
3.216,-0.000198332,-0.198331875,-25.75338667,,
3.217,-0.000198397,-0.198396732,-25.77122167,,
3.218,-0.000198462,-0.198461564,-25.78904667,,
3.219,-0.000198526,-0.198526369,-25.80686167,,
3.22,-0.000198591,-0.198591149,-25.82466667,,
3.221,-0.000198656,-0.198655904,-25.84246167,,
3.222,-0.000198721,-0.198720632,-25.86024667,,
3.223,-0.000198785,-0.198785334,-25.87802167,,
3.224,-0.00019885,-0.198850011,-25.89578667,,
3.225,-0.000198915,-0.198914662,-25.91354167,,
3.226,-0.000198979,-0.198979286,-25.93128667,,
3.227,-0.000199044,-0.199043885,-25.94902167,,
3.228,-0.000199108,-0.199108458,-25.96674667,,
3.229,-0.000199173,-0.199173005,-25.98446167,,
3.23,-0.000199238,-0.199237526,-26.00216667,,
3.231,-0.000199302,-0.199302021,-26.01986167,,
3.232,-0.000199366,-0.19936649,-26.03754667,,
3.233,-0.000199431,-0.199430933,-26.05522167,,
3.234,-0.000199495,-0.19949535,-26.07288667,,
3.235,-0.00019956,-0.19955974,-26.09054167,,
3.236,-0.000199624,-0.199624105,-26.10818667,,
3.237,-0.000199688,-0.199688444,-26.12582167,,
3.238,-0.000199753,-0.199752756,-26.14344667,,
3.239,-0.000199817,-0.199817042,-26.16106167,,
3.24,-0.000199881,-0.199881302,-26.17866667,,
3.241,-0.000199946,-0.199945536,-26.19626167,,
3.242,-0.00020001,-0.200009744,-26.21384667,,
3.243,-0.000200074,-0.200073926,-26.23142167,,
3.244,-0.000200138,-0.200138081,-26.24898667,,
3.245,-0.000200202,-0.20020221,-26.26654167,,
3.246,-0.000200266,-0.200266313,-26.28408667,,
3.247,-0.00020033,-0.200330389,-26.30162167,,
3.248,-0.000200394,-0.20039444,-26.31914667,,
3.249,-0.000200458,-0.200458463,-26.33666167,,
3.25,-0.000200522,-0.200522461,-26.35416667,,
3.251,-0.000200586,-0.200586432,-26.37166167,,
3.252,-0.00020065,-0.200650377,-26.38914667,,
3.253,-0.000200714,-0.200714295,-26.40662167,,
3.254,-0.000200778,-0.200778187,-26.42408667,,
3.255,-0.000200842,-0.200842053,-26.44154167,,
3.256,-0.000200906,-0.200905892,-26.45898667,,
3.257,-0.00020097,-0.200969705,-26.47642167,,
3.258,-0.000201033,-0.201033491,-26.49384667,,
3.259,-0.000201097,-0.201097251,-26.51126167,,
3.26,-0.000201161,-0.201160984,-26.52866667,,
3.261,-0.000201225,-0.201224691,-26.54606167,,
3.262,-0.000201288,-0.201288371,-26.56344667,,
3.263,-0.000201352,-0.201352024,-26.58082167,,
3.264,-0.000201416,-0.201415651,-26.59818667,,
3.265,-0.000201479,-0.201479252,-26.61554167,,
3.266,-0.000201543,-0.201542826,-26.63288667,,
3.267,-0.000201606,-0.201606373,-26.65022167,,
3.268,-0.00020167,-0.201669893,-26.66754667,,
3.269,-0.000201733,-0.201733387,-26.68486167,,
3.27,-0.000201797,-0.201796854,-26.70216667,,
3.271,-0.00020186,-0.201860295,-26.71946167,,
3.272,-0.000201924,-0.201923709,-26.73674667,,
3.273,-0.000201987,-0.201987096,-26.75402167,,
3.274,-0.00020205,-0.202050456,-26.77128667,,
3.275,-0.000202114,-0.202113789,-26.78854167,,
3.276,-0.000202177,-0.202177096,-26.80578667,,
3.277,-0.00020224,-0.202240376,-26.82302167,,
3.278,-0.000202304,-0.202303629,-26.84024667,,
3.279,-0.000202367,-0.202366855,-26.85746167,,
3.28,-0.00020243,-0.202430054,-26.87466667,,
3.281,-0.000202493,-0.202493227,-26.89186167,,
3.282,-0.000202556,-0.202556372,-26.90904667,,
3.283,-0.000202619,-0.202619491,-26.92622167,,
3.284,-0.000202683,-0.202682583,-26.94338667,,
3.285,-0.000202746,-0.202745648,-26.96054167,,
3.286,-0.000202809,-0.202808686,-26.97768667,,
3.287,-0.000202872,-0.202871696,-26.99482167,,
3.288,-0.000202935,-0.20293468,-27.01194667,,
3.289,-0.000202998,-0.202997637,-27.02906167,,
3.29,-0.000203061,-0.203060567,-27.04616667,,
3.291,-0.000203123,-0.20312347,-27.06326167,,
3.292,-0.000203186,-0.203186346,-27.08034667,,
3.293,-0.000203249,-0.203249194,-27.09742167,,
3.294,-0.000203312,-0.203312016,-27.11448667,,
3.295,-0.000203375,-0.20337481,-27.13154167,,
3.296,-0.000203438,-0.203437577,-27.14858667,,
3.297,-0.0002035,-0.203500318,-27.16562167,,
3.298,-0.000203563,-0.203563031,-27.18264667,,
3.299,-0.000203626,-0.203625716,-27.19966167,,
3.3,-0.000203688,-0.203688375,-27.21666667,,
3.301,-0.000203751,-0.203751006,-27.23366167,,
3.302,-0.000203814,-0.203813611,-27.25064667,,
3.303,-0.000203876,-0.203876187,-27.26762167,,
3.304,-0.000203939,-0.203938737,-27.28458667,,
3.305,-0.000204001,-0.204001259,-27.30154167,,
3.306,-0.000204064,-0.204063754,-27.31848667,,
3.307,-0.000204126,-0.204126222,-27.33542167,,
3.308,-0.000204189,-0.204188663,-27.35234667,,
3.309,-0.000204251,-0.204251076,-27.36926167,,
3.31,-0.000204313,-0.204313461,-27.38616667,,
3.311,-0.000204376,-0.20437582,-27.40306167,,
3.312,-0.000204438,-0.204438151,-27.41994667,,
3.313,-0.0002045,-0.204500454,-27.43682167,,
3.314,-0.000204563,-0.20456273,-27.45368667,,
3.315,-0.000204625,-0.204624979,-27.47054167,,
3.316,-0.000204687,-0.2046872,-27.48738667,,
3.317,-0.000204749,-0.204749393,-27.50422167,,
3.318,-0.000204812,-0.204811559,-27.52104667,,
3.319,-0.000204874,-0.204873698,-27.53786167,,
3.32,-0.000204936,-0.204935809,-27.55466667,,
3.321,-0.000204998,-0.204997893,-27.57146167,,
3.322,-0.00020506,-0.205059948,-27.58824667,,
3.323,-0.000205122,-0.205121977,-27.60502167,,
3.324,-0.000205184,-0.205183978,-27.62178667,,
3.325,-0.000205246,-0.205245951,-27.63854167,,
3.326,-0.000205308,-0.205307896,-27.65528667,,
3.327,-0.00020537,-0.205369814,-27.67202167,,
3.328,-0.000205432,-0.205431704,-27.68874667,,
3.329,-0.000205494,-0.205493567,-27.70546167,,
3.33,-0.000205555,-0.205555401,-27.72216667,,
3.331,-0.000205617,-0.205617208,-27.73886167,,
3.332,-0.000205679,-0.205678988,-27.75554667,,
3.333,-0.000205741,-0.205740739,-27.77222167,,
3.334,-0.000205802,-0.205802463,-27.78888667,,
3.335,-0.000205864,-0.205864159,-27.80554167,,
3.336,-0.000205926,-0.205925827,-27.82218667,,
3.337,-0.000205987,-0.205987467,-27.83882167,,
3.338,-0.000206049,-0.20604908,-27.85544667,,
3.339,-0.000206111,-0.206110665,-27.87206167,,
3.34,-0.000206172,-0.206172221,-27.88866667,,
3.341,-0.000206234,-0.20623375,-27.90526167,,
3.342,-0.000206295,-0.206295251,-27.92184667,,
3.343,-0.000206357,-0.206356724,-27.93842167,,
3.344,-0.000206418,-0.206418169,-27.95498667,,
3.345,-0.00020648,-0.206479587,-27.97154167,,
3.346,-0.000206541,-0.206540976,-27.98808667,,
3.347,-0.000206602,-0.206602337,-28.00462167,,
3.348,-0.000206664,-0.20666367,-28.02114667,,
3.349,-0.000206725,-0.206724975,-28.03766167,,
3.35,-0.000206786,-0.206786253,-28.05416667,,
3.351,-0.000206848,-0.206847502,-28.07066167,,
