x,u_m,u_mm,M,,,,,
-4.899,-4.16E-07,-0.000416499,78.33433833,,,,,
-4.898,-4.25E-07,-0.000424702,78.28535333,,,,,
-4.897,-4.33E-07,-0.000432983,78.23637833,,,,,
-4.896,-4.41E-07,-0.000441342,78.18741333,,,,,
-4.895,-4.50E-07,-0.000449779,78.13845833,,,,,
-4.894,-4.58E-07,-0.000458294,78.08951333,,,,,
-4.893,-4.67E-07,-0.000466888,78.04057833,,,,,
-4.892,-4.76E-07,-0.000475559,77.99165333,,,,,
-4.891,-4.84E-07,-0.000484309,77.94273833,,,,,
-4.89,-4.93E-07,-0.000493136,77.89383333,,,,,
-4.889,-5.02E-07,-0.000502041,77.84493833,,,,,
-4.888,-5.11E-07,-0.000511024,77.79605333,,,,,
-4.887,-5.20E-07,-0.000520085,77.74717833,,,,,
-4.886,-5.29E-07,-0.000529224,77.69831333,,,,,
-4.885,-5.38E-07,-0.000538441,77.64945833,,,,,
-4.884,-5.48E-07,-0.000547735,77.60061333,,,,,
-4.883,-5.57E-07,-0.000557106,77.55177833,,,,,
-4.882,-5.67E-07,-0.000566556,77.50295333,,,,,
-4.881,-5.76E-07,-0.000576082,77.45413833,,,,,
-4.88,-5.86E-07,-0.000585686,77.40533333,,,,,
-4.879,-5.95E-07,-0.000595368,77.35653833,,,,,
-4.878,-6.05E-07,-0.000605127,77.30775333,,,,,
-4.877,-6.15E-07,-0.000614963,77.25897833,,,,,
-4.876,-6.25E-07,-0.000624877,77.21021333,,,,,
-4.875,-6.35E-07,-0.000634867,77.16145833,,,,,
-4.874,-6.45E-07,-0.000644935,77.11271333,,,,,
-4.873,-6.55E-07,-0.00065508,77.06397833,,,,,
-4.872,-6.65E-07,-0.000665302,77.01525333,,,,,
-4.871,-6.76E-07,-0.000675601,76.96653833,,,,,
-4.87,-6.86E-07,-0.000685977,76.91783333,,,,,
-4.869,-6.96E-07,-0.00069643,76.86913833,,,,,
-4.868,-7.07E-07,-0.00070696,76.82045333,,,,,
-4.867,-7.18E-07,-0.000717567,76.77177833,,,,,
-4.866,-7.28E-07,-0.00072825,76.72311333,,,,,
-4.865,-7.39E-07,-0.00073901,76.67445833,,,,,
-4.864,-7.50E-07,-0.000749847,76.62581333,,,,,
-4.863,-7.61E-07,-0.000760761,76.57717833,,,,,
-4.862,-7.72E-07,-0.000771751,76.52855333,,,,,
-4.861,-7.83E-07,-0.000782817,76.47993833,,,,,
-4.86,-7.94E-07,-0.00079396,76.43133333,,,,,
-4.859,-8.05E-07,-0.00080518,76.38273833,,,,,
-4.858,-8.16E-07,-0.000816475,76.33415333,,,,,
-4.857,-8.28E-07,-0.000827848,76.28557833,,,,,
-4.856,-8.39E-07,-0.000839296,76.23701333,,,,,
-4.855,-8.51E-07,-0.000850821,76.18845833,,,,,
-4.854,-8.62E-07,-0.000862422,76.13991333,,,,,
-4.853,-8.74E-07,-0.000874099,76.09137833,,,,,
-4.852,-8.86E-07,-0.000885852,76.04285333,,,,,
-4.851,-8.98E-07,-0.000897681,75.99433833,,,,,
-4.85,-9.10E-07,-0.000909586,75.94583333,,,,,
-4.849,-9.22E-07,-0.000921567,75.89733833,,,,,
-4.848,-9.34E-07,-0.000933624,75.84885333,,,,,
-4.847,-9.46E-07,-0.000945757,75.80037833,,,,,
-4.846,-9.58E-07,-0.000957965,75.75191333,,,,,
-4.845,-9.70E-07,-0.00097025,75.70345833,,,,,
-4.844,-9.83E-07,-0.00098261,75.65501333,,,,,
-4.843,-9.95E-07,-0.000995046,75.60657833,,,,,
-4.842,-1.01E-06,-0.001007557,75.55815333,,,,,
-4.841,-1.02E-06,-0.001020144,75.50973833,,,,,
-4.84,-1.03E-06,-0.001032806,75.46133333,,,,,
-4.839,-1.05E-06,-0.001045544,75.41293833,,,,,
-4.838,-1.06E-06,-0.001058358,75.36455333,,,,,
-4.837,-1.07E-06,-0.001071246,75.31617833,,,,,
-4.836,-1.08E-06,-0.00108421,75.26781333,,,,,
-4.835,-1.10E-06,-0.001097249,75.21945833,,,,,
-4.834,-1.11E-06,-0.001110364,75.17111333,,,,,
-4.833,-1.12E-06,-0.001123554,75.12277833,,,,,
-4.832,-1.14E-06,-0.001136818,75.07445333,,,,,
-4.831,-1.15E-06,-0.001150158,75.02613833,,,,,
-4.83,-1.16E-06,-0.001163573,74.97783333,,,,,
-4.829,-1.18E-06,-0.001177063,74.92953833,,,,,
-4.828,-1.19E-06,-0.001190628,74.88125333,,,,,
-4.827,-1.20E-06,-0.001204267,74.83297833,,,,,
-4.826,-1.22E-06,-0.001217982,74.78471333,,,,,
-4.825,-1.23E-06,-0.001231771,74.73645833,,,,,
-4.824,-1.25E-06,-0.001245635,74.68821333,,,,,
-4.823,-1.26E-06,-0.001259574,74.63997833,,,,,
-4.822,-1.27E-06,-0.001273587,74.59175333,,,,,
-4.821,-1.29E-06,-0.001287675,74.54353833,,,,,
-4.82,-1.30E-06,-0.001301837,74.49533333,,,,,
-4.819,-1.32E-06,-0.001316074,74.44713833,,,,,
-4.818,-1.33E-06,-0.001330386,74.39895333,,,,,
-4.817,-1.34E-06,-0.001344772,74.35077833,,,,,
-4.816,-1.36E-06,-0.001359232,74.30261333,,,,,
-4.815,-1.37E-06,-0.001373766,74.25445833,,,,,
-4.814,-1.39E-06,-0.001388375,74.20631333,,,,,
-4.813,-1.40E-06,-0.001403058,74.15817833,,,,,
-4.812,-1.42E-06,-0.001417815,74.11005333,,,,,
-4.811,-1.43E-06,-0.001432646,74.06193833,,,,,
-4.81,-1.45E-06,-0.001447551,74.01383333,,,,,
-4.809,-1.46E-06,-0.001462531,73.96573833,,,,,
-4.808,-1.48E-06,-0.001477584,73.91765333,,,,,
-4.807,-1.49E-06,-0.001492711,73.86957833,,,,,
-4.806,-1.51E-06,-0.001507912,73.82151333,,,,,
-4.805,-1.52E-06,-0.001523187,73.77345833,,,,,
-4.804,-1.54E-06,-0.001538535,73.72541333,,,,,
-4.803,-1.55E-06,-0.001553958,73.67737833,,,,,
-4.802,-1.57E-06,-0.001569454,73.62935333,,,,,
-4.801,-1.59E-06,-0.001585023,73.58133833,,,,,
-4.8,-1.60E-06,-0.001600667,73.53333333,,,,,
-4.799,-1.62E-06,-0.001616383,73.48533833,,,,,
-4.798,-1.63E-06,-0.001632174,73.43735333,,,,,
-4.797,-1.65E-06,-0.001648037,73.38937833,,,,,
-4.796,-1.66E-06,-0.001663974,73.34141333,,,,,
-4.795,-1.68E-06,-0.001679985,73.29345833,,,,,
-4.794,-1.70E-06,-0.001696069,73.24551333,,,,,
-4.793,-1.71E-06,-0.001712225,73.19757833,,,,,
-4.792,-1.73E-06,-0.001728456,73.14965333,,,,,
-4.791,-1.74E-06,-0.001744759,73.10173833,,,,,
-4.79,-1.76E-06,-0.001761135,73.05383333,,,,,
-4.789,-1.78E-06,-0.001777585,73.00593833,,,,,
